timestamp,open,high,low,close,volume
1672531200,1200,1210,1195,1205,1000
1672531500,1205,1215,1200,1210,1100
1672531800,1210,1225,1208,1220,1200
1672532100,1220,1230,1215,1225,1300
1672532400,1225,1240,1222,1235,1400
1672532700,1235,1250,1233,1245,1500
1672533000,1245,1260,1240,1255,1600
1672533300,1255,1270,1250,1265,1700
1672533600,1265,1280,1260,1275,1800
1672533900,1275,1285,1270,1280,1900
1672534200,1280,1290,1275,1285,2000
1672534500,1285,1288,1270,1272,2100
1672534800,1272,1275,1250,1255,2200
1672535100,1255,1260,1240,1245,2300
1672535400,1245,1250,1230,1235,2400
1672535700,1235,1240,1210,1215,2500
1672536000,1215,1220,1200,1205,2600
1672536300,1205,1210,1180,1185,2700
1672536600,1185,1190,1170,1175,2800
1672536900,1175,1180,1150,1155,2900
1672537200,1155,1160,1140,1145,3000
